observation_field_name,observation_field_id
Syntopic,https://www.inaturalist.org/observation_fields/1378
Syntop,https://www.inaturalist.org/observation_fields/1340
Target species,https://www.inaturalist.org/observation_fields/1185
Iconic taxon name,https://www.inaturalist.org/observation_fields/1898
Tree species,https://www.inaturalist.org/observation_fields/614
"associated fern plant, pteridophyte",https://www.inaturalist.org/observation_fields/2400
Order,https://www.inaturalist.org/observation_fields/1434
Class,https://www.inaturalist.org/observation_fields/1433
Phylum,https://www.inaturalist.org/observation_fields/1432
Unidentified,https://www.inaturalist.org/observation_fields/2448
Animal observed,https://www.inaturalist.org/observation_fields/2366
Interaction: Defended territory from,https://www.inaturalist.org/observation_fields/3495
Mobbing,https://www.inaturalist.org/observation_fields/3530
MARIPOSAS,https://www.inaturalist.org/observation_fields/341
Mariposas,https://www.inaturalist.org/observation_fields/631
Observado junto a:,https://www.inaturalist.org/observation_fields/3679
Additionally Related Taxa,https://www.inaturalist.org/observation_fields/3847
Also Related Taxa,https://www.inaturalist.org/observation_fields/3846
Community ecology,https://www.inaturalist.org/observation_fields/3884
On Tree (Bird),https://www.inaturalist.org/observation_fields/3870
Community ecology sp.2,https://www.inaturalist.org/observation_fields/3894
chased by,https://www.inaturalist.org/observation_fields/3931
chasing,https://www.inaturalist.org/observation_fields/3930
Community ecology sp.3,https://www.inaturalist.org/observation_fields/3895
Type of pollinator observed,https://www.inaturalist.org/observation_fields/2543
Orquídea,https://www.inaturalist.org/observation_fields/3513
Orchidaceae,https://www.inaturalist.org/observation_fields/3514
Interaction: Competition with,https://www.inaturalist.org/observation_fields/4133
Interaction: Hunting,https://www.inaturalist.org/observation_fields/4186
Interaction: Damaged by,https://www.inaturalist.org/observation_fields/4144
third associated species with names lookup,https://www.inaturalist.org/observation_fields/4309
Community ecology sp.4,https://www.inaturalist.org/observation_fields/4258
Community ecology sp.5,https://www.inaturalist.org/observation_fields/4259
Especies afectadas,https://www.inaturalist.org/observation_fields/2056
Abbas Karouni,https://www.inaturalist.org/observation_fields/4526
sub species,https://www.inaturalist.org/observation_fields/5582
Observed Species Association: In conflict with,https://www.inaturalist.org/observation_fields/5584
aff.,https://www.inaturalist.org/observation_fields/3594
Especies de coral vivo con blanqueamiento,https://www.inaturalist.org/observation_fields/524
What is the scientific name of the product?,https://www.inaturalist.org/observation_fields/5687
Milkweed species,https://www.inaturalist.org/observation_fields/2365
Atlas ID,https://www.inaturalist.org/observation_fields/6085
Interaction->Damaged,https://www.inaturalist.org/observation_fields/4143
Preliminary identification,https://www.inaturalist.org/observation_fields/7017
Ecological Community Associate,https://www.inaturalist.org/observation_fields/7154
Otherwise it's this species,https://www.inaturalist.org/observation_fields/4948
What did you see?,https://www.inaturalist.org/observation_fields/446
Type of Turtle Observed,https://www.inaturalist.org/observation_fields/4996
Neuropterida observed,https://www.inaturalist.org/observation_fields/1959
Subspecies (if applicable),https://www.inaturalist.org/observation_fields/7326
Polinizadores,https://www.inaturalist.org/observation_fields/6388
Associated Taxa,https://www.inaturalist.org/observation_fields/7007
Associate of :,https://www.inaturalist.org/observation_fields/7202
Especies relacionadas,https://www.inaturalist.org/observation_fields/7592
Botanical Name,https://www.inaturalist.org/observation_fields/380
Famiglia,https://www.inaturalist.org/observation_fields/3558
Ordine,https://www.inaturalist.org/observation_fields/3557
Eco-Park Species,https://www.inaturalist.org/observation_fields/7529
Navn på nøgensnegl / Specie Name,https://www.inaturalist.org/observation_fields/7946
cf,https://www.inaturalist.org/observation_fields/5521
Interspecific Competition with,https://www.inaturalist.org/observation_fields/8599
Hesperiidae do Brasil / Hesperiidae of Brazil,https://www.inaturalist.org/observation_fields/9193
Brazilian Weevils / Gorgulhos Brasileiros,https://www.inaturalist.org/observation_fields/9209
Odonata do Brasil,https://www.inaturalist.org/observation_fields/9174
Weevils / Gorgulhos,https://www.inaturalist.org/observation_fields/9210
Hesperiidae Identification,https://www.inaturalist.org/observation_fields/9192
Hedgehogs,https://www.inaturalist.org/observation_fields/9211
Butterflies of Brazil / Borboletas do Brasil,https://www.inaturalist.org/observation_fields/9188
Butterflies of the World,https://www.inaturalist.org/observation_fields/9187
"Worldwide Orthoptera (Grasshoppers, Katydids and Crickets)",https://www.inaturalist.org/observation_fields/9233
Photobombed By,https://www.inaturalist.org/observation_fields/9273
Weevils of Brazil,https://www.inaturalist.org/observation_fields/9156
Hemípteros do Brasil,https://www.inaturalist.org/observation_fields/9163
Amphibia of the World,https://www.inaturalist.org/observation_fields/9321
near,https://www.inaturalist.org/observation_fields/5268
Worldwide Orthoptera (Grasshoppers, Katydids and Crickets),https://www.inaturalist.org/observation_fields/9233
Weevils of the World,https://www.inaturalist.org/observation_fields/9155
Hemiptera of the World,https://www.inaturalist.org/observation_fields/9162
Amphibia of Brazil / Amphibia do Brasil,https://www.inaturalist.org/observation_fields/9320
Possible species,https://www.inaturalist.org/observation_fields/9440
Cerambycidae,https://www.inaturalist.org/observation_fields/9508
Cerambycidae of Brazil / Cerambycidae do Brasil,https://www.inaturalist.org/observation_fields/9509
